n10 & n01 = 

       Equal	     Hamming	        Jaro	 JaroWinkler	 Levenshtein	      N-gram	NeedlemanWunsch2	        SMOA	   SubString
           0	        1694	        1652	        1652	        1570	        1480	        1604	        1799	        2114
         842	           0	        1527	        1527	        1409	        1395	        1357	        1887	        2500
         888	        1615	           0	           0	        1378	        1395	        1451	        1842	        2544
         888	        1615	           0	           0	        1378	        1395	        1451	        1842	        2544
         966	        1657	        1538	        1538	           0	        1270	         965	        1750	        2544
        1041	        1808	        1720	        1720	        1435	           0	        1581	        1617	        2403
         932	        1537	        1543	        1543	         897	        1348	           0	        1828	        2544
         881	        1821	        1688	        1688	        1436	        1138	        1582	           0	        2507
         422	        1660	        1616	        1616	        1456	        1150	        1524	        1733	           0

